,program,.,l,d,var,;,:,type,Integer,Boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,TRUE,FALSE,>,>=,=,<=,<,$,p,i,L,D,b,vds,VD,vd,I,t,cs,S,s,ss,as,rs,ws,sus,is,e,ae,O,te,f,li,il,bl,be,Ae
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,s9,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,6,,,,,,,,,,,,,,,,,,
3,,,r1,,r1,r1,r1,,,,r1,r1,r1,,,,r1,r1,,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,s4,s12,r2,r2,r2,,,,r2,r2,r2,,,,r2,r2,,r2,r2,r2,r2,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,
5,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
8,,,s4,,,,,,,,s8,,,s25,s26,s28,,,s27,,,,,,,,,,,,,,24,3,,,,,,,,23,15,16,17,19,20,21,18,22,,,,,,,,,,
9,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,,,,29,30,31,,,,,,,,,,,,,,,,,,,,
10,,,r3,,r3,r3,r3,,,,r3,r3,r3,,,,r3,r3,,r3,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,r4,,r4,r4,r4,,,,r4,r4,r4,,,,r4,r4,,r4,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,r5,s12,r5,r5,r5,,,,r5,r5,r5,,,,r5,r5,,r5,r5,r5,r5,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,s35,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,r20,,,,,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,r21,,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,r22,,,,,,r22,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,r23,,,,,,r23,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,r24,,,,,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,r29,,,,,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,r31,,,,,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,s43,s44,s45,s46,s47,s48,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,40,42
28,,,,,,,,,,,,,,,,,,,,,,,,s43,s44,s45,s46,s47,s48,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,50,42
29,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,s51,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,s4,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,,,,,,53,,,,,,,,,,,,,,,,,,,,
33,,,r6,,r6,r6,r6,,,,r6,r6,r6,,,,r6,r6,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,r17,,,,r17,,,,,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,s4,,,,,,,,s8,,,s25,s26,s28,,,s27,,,,,,,,,,,,,,24,3,,,,,,,,23,54,16,17,19,20,21,18,22,,,,,,,,,,
36,,,s4,s12,,,,,,,,,,,,,,,,,,,,s43,s44,s45,s46,s47,s48,s49,,,60,3,62,,,,,,,,,,,,,,,,55,56,,58,59,,61,41,57,42
37,,,,,,r26,,,,,,r26,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,r27,,,,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,s4,s12,r2,r28,r2,,,,r2,r28,r2,,,,r2,r28,,r2,r2,r2,r2,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,r52,,,,,,r52,,,,,r52,r52,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,s4,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,62,,,,,,,,,,,,,,,,,64,,58,59,,61,,,
43,,,,,,r50,,,,,,r50,,,,,r50,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,r51,,,,,,r51,,,,,r51,r51,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,,,,66,30,31,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,r25,,,,,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
