,program,.,letter,digit,var,;,variable_declaration_section*,:,types,Integer,Boolean,begin,end,:=,read,identifiers,write,if,then,else,while,do,+,-,*,TRUE,FALSE,>,>=,=,<=,<,$,pr,identifier,identifier*,identifier**,block,var_declaration_section,var_declaration_section*,var_declaration,var_declaration*,type,compound_statement,compound_statement*,statement,simple_statement,assigned_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,integer_literal,integer_literal*,boolean_literal,boolean_expression
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,s8,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,7,,,,,,,,,,,,,,,,,,
3,,,r1,r1,r1,r1,,r1,,,,r1,r1,r1,,,,,r1,r1,,r1,r1,r1,r1,,,r1,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,s11,s12,r2,r2,,r2,,,,r2,r2,r2,,,,,r2,r2,,r2,r2,r2,r2,,,r2,r2,r2,r2,r2,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
5,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
7,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,,,,15,16,17,,,,,,,,,,,,,,,,,,,,
9,,,s4,,,,,,,,,s9,,,s30,,s31,s32,,,s33,,,,,,,,,,,,,,29,3,,,,,,,,28,19,20,21,23,24,25,22,26,27,,,,,,,,,
10,,,r3,r3,r3,r3,,r3,,,,r3,r3,r3,,,,,r3,r3,,r3,r3,r3,r3,,,r3,r3,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,r4,r4,r4,r4,,r4,,,,r4,r4,r4,,,,,r4,r4,,r4,r4,r4,r4,,,r4,r4,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,r5,r5,r5,r5,,r5,,,,r5,r5,r5,,,,,r5,r5,,r5,r5,r5,r5,,,r5,r5,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,s34,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,s4,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,,,,,,36,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,s38,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,r19,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,r20,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,r21,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,r22,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,r23,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,r28,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,r29,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,r30,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,s4,s48,,,,,,,,,,,,,,,,,,,,,,s46,s47,,,,,,,,41,3,,,,,,,,,,,,,,,,,,,,,,42,43,45,44,
32,,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,50,49
33,,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,50,52
34,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,r16,,,,r16,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,s4,,,,,,,,,s9,,,s30,,s31,s32,,,s33,,,,,,,,,,,,,,29,3,,,,,,,,28,55,20,21,23,24,25,22,26,27,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,56,57,,,,,,50,58
40,,,,,,r25,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,r26,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,r27,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,r43,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,r44,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r45,r45,,r45,,,,,,,r45,,,,,,r45,r45,,r45,r45,r45,r45,,,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,r48,,,,,,,r48,,,,,,r48,r48,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,r49,,,,,,,r49,,,,,,r49,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,r46,s48,,r46,,,,,,,r46,,,,,,r46,r46,,r46,r46,r46,r46,,,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,
49,,,,,,,,,,,,,,,,,,,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,r50,,,,,,,r50,,,,,,r50,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,s4,s48,,,,,,,,,,,,,,,,,,,s68,s69,,,,s62,s63,s64,s65,s66,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
